person_ID,trip_count,av_1,av_2,av_3,av_4,av_5,av_6,av_7,av_8,choice,shop_trip,leis_trip,dist_fac,tt_w,tt_b,tt_c,tc_c,acc_c,acc_time_4,tt_pt,tc_pt,acc_pt,trns_pt,freq_pt,distance_3,tt_ivt_3,tc_c_3,tt_ivt_1,tt_ivt_2,tt_ivt_4,tc_pt_4,wait_4,trns_4,freq_sof,Q1.1,Q1.2,Q1.3,Q1.4,Q1.6,Q1.16.1,Q1.10,Q2.2,hh_income_cat,hh_income,Q2.5_1,Q2.5_2,Q2.5_4,Q2.5_5,Q2.6_1,Q2.6_2,Q2.7,p_income,Q3.7,Q3.8,Q3.9
C527780,27,0,0,1,1,0,0,0,0,3,0,0,24.0585,,,31,4.3,3,10.05,33,9,9,0,20,28.295,24.2,5.7,275.55,88.43333333,46,7.2,2,1,15,52,3,8,3,1,3,1,1,2,3000,1,0,0,2,1,2,3,2000,1,2,1
J554911,27,0,0,0,0,0,0,1,1,8,0,0,74.7155,,,,,,15.95,,,,,,72.005,55.81666667,16.6,840.7,242.9666667,68,10,18.98333333,3,12,56,2,11,5,1,3,1,1,9,18000,3,1,1,5,2,1,2,17500,2,1,1
R013412,27,0,0,1,1,0,0,0,0,4,0,1,29.59025,,,33,11.4,9,8.416666667,28,3.6,9,2,10,31.062,21.78333333,10.9,317.4,94.43333333,39,3.7,9.466666667,3,12,34,2,6,4,1,3,1,1,7,13000,2,0,1,1,2,1,3,7000,1,1,1
F090872,27,1,1,1,1,0,0,0,0,3,1,0,4.0635,44,13,6,1.8,3,9.716666667,8,2.8,11,0,40,3.633,5.3,0,44.26666667,11.93333333,7,4.4,0,0,30,38,2,10,5,1,2,2,1,9,18000,2,2,0,2,2,1,2,9500,2,2,2
D1866327,27,0,0,0,0,1,1,1,1,8,0,1,4.63175,,,,,,5.383333333,,,,,,4.891,14.86666667,1.2,52.58333333,16.96666667,13.7,0.6,2.8,1,7,41,3,11,5,1,1,1,4,7,13000,1,0,0,3,2,1,3,9500,2,1,1
G1853312,27,0,1,1,1,0,0,0,0,3,0,1,10.77975,,29,15,3.2,9,24.4,28,7.4,20,2,10,10.034,17.73333333,3.5,110.0833333,27.36666667,23,6.5,3.75,1,12,51,2,11,5,1,3,1,1,7,13000,2,0,0,5,2,1,2,7000,2,1,1
Q378713,27,0,0,0,0,0,1,1,1,7,0,1,6.47875,,,,,,17.75,,,,,,7.261,10.41666667,2.5,72.38333333,21.03333333,12,5,0.016666667,0,12,24,2,5,4,1,3,1,1,3,5000,5,0,0,1,2,1,3,2000,1,2,2
Q379363,27,0,0,0,0,0,0,1,1,8,0,1,21.28475,,,,,,23.86666667,,,,,,19.107,28.43333333,3.8,218.9833333,73.2,36,14,5.183333333,1,10,26,2,5,4,1,3,1,4,4,7000,1,1,0,0,2,1,3,4000,1,2,1
H1117145,26,0,0,1,1,0,0,0,0,4,0,0,26.108,,,31,3.7,3,16.21666667,27,4,18,0,30,27.148,29.78333333,5.4,292.1666667,85.18333333,27,2.8,3.183333333,1,60,59,3,3,3,1,3,1,1,3,5000,1,0,0,3,1,1,2,7000,1,2,2
B095121,27,0,0,1,1,0,0,0,0,3,0,0,78.747,,,87,1.8,6,18.68333333,101,14.6,20,4,15,74.843,56.8,0,907.05,281.6666667,93,23.4,15.73333333,3,20,46,3,3,4,1,2,1,4,9,18000,2,2,0,2,2,1,3,9500,3,1,1
C608426,27,0,0,1,1,0,0,0,0,3,0,0,43.2085,,,47,21.9,6,19.81666667,69,12.3,22,4,15,37.268,31.38333333,17.5,449.5333333,135.7166667,63,16.4,16.81666667,3,20,63,2,5,4,1,3,2,1,4,7000,1,0,0,2,2,1,3,7000,1,2,2
